algorithm,level,k,query_type,run_id,struct_id,assignment,estimated_cost,estimated_latency,estimated_energy,estimated_qoa,is_pareto,time_s
DP+Delta,0,1,Other,0,0,"(3,)",8.513999999999998e-06,12.2498856,8.5546764,0.08,True,0.0066089630126953125
DP+Delta,0,1,Other,0,0,"(4,)",1.1863e-05,7.669120000000001,10.679424,0.1,True,0.0066089630126953125
MOQO,0,1,Other,0,0,"(3,)",8.513999999999998e-06,12.2498856,8.5546764,0.08,True,1.3001890182495117
MOQO,0,1,Other,0,0,"(4,)",1.1863e-05,7.669120000000001,10.679424,0.1,True,1.3001890182495117
MOQO,0,1,Other,0,0,"(0,)",3.6952e-06,20.4298291,13.2730103,0.059,True,1.3001890182495117
MOQO,0,1,Other,0,0,"(1,)",6.9355e-06,18.915,13.306072,0.354,True,1.3001890182495117
MOQO,0,1,Other,1,0,"(4,)",1.1863e-05,7.669120000000001,10.679424,0.1,True,1.300117015838623
MOQO,0,1,Other,1,0,"(3,)",8.513999999999998e-06,12.2498856,8.5546764,0.08,True,1.300117015838623
MOQO,0,1,Other,1,0,"(1,)",6.9355e-06,18.915,13.306072,0.354,True,1.300117015838623
MOQO,0,1,Other,1,0,"(0,)",3.6952e-06,20.4298291,13.2730103,0.059,True,1.300117015838623
MOQO,0,1,Other,2,0,"(0,)",3.6952e-06,20.4298291,13.2730103,0.059,True,1.300072193145752
MOQO,0,1,Other,2,0,"(3,)",8.513999999999998e-06,12.2498856,8.5546764,0.08,True,1.300072193145752
MOQO,0,1,Other,2,0,"(4,)",1.1863e-05,7.669120000000001,10.679424,0.1,True,1.300072193145752
MOQO,0,1,Other,2,0,"(1,)",6.9355e-06,18.915,13.306072,0.354,True,1.300072193145752
DP+Delta,0,1,Politics,0,0,"(0,)",3.941e-06,21.7896846,14.1564918,0.059,True,0.006309986114501953
DP+Delta,0,1,Politics,0,0,"(1,)",7.4965e-06,20.445,14.382376,0.354,True,0.006309986114501953
DP+Delta,0,1,Politics,0,0,"(2,)",1.0104e-05,19.6266176,14.72,0.03,False,0.006309986114501953
